Belleview Elementary Community Day School,22736 Kuien Mill Road,Richardsville,CA,22736,,-7.77E+01,3.84E+01
Belleview Elementary School,22736 Kuien Mill Road,Richardsville,CA,22736,,-7.77E+01,3.84E+01
Chemehuevi Valley Elementary School,81 School Road,Virginia Beach,CA,23454,,-7.61E+01,3.68E+01
Chemehuevi Valley Elementary School,81 School Road,Virginia Beach,CA,23454,,-7.61E+01,3.68E+01
Bay Area Of Enterprise School,1900 Third Street,Florence,CA,29501,Florence County,-7.98E+01,3.42E+01
Cielo Vista Charter School,650 South Paseo Dorotea,Lake Worth,CA,33463,Palm Beach County,-8.01E+01,2.66E+01
Baker Elementary School,72100 School House Lane,Baker,CA,59313,Fallon County,-1.04E+02,4.64E+01
Baker High School,72100 School House Lane,Baker,CA,59313,Fallon County,-1.04E+02,4.64E+01
Baker Junior High School,72100 School House Lane,Baker,CA,59313,Fallon County,-1.04E+02,4.64E+01
Baker Valley Adult School,72100 School House Lane,Baker,CA,59313,Fallon County,-1.04E+02,4.64E+01
Chester Junior/Senior High School,612 First Street,Chester,CA,62233,Randolph County,-8.99E+01,3.79E+01
Chester Junior/Senior High School,612 First Street,Chester,CA,62233,Randolph County,-8.99E+01,3.79E+01
Aspire University Public School,10038 North State Route 99,Stockton,CA,65785,Cedar County,-9.39E+01,3.76E+01
Animo Pat Brown School,8255 Beach Street,Los Angeles,CA,90001,Los Angeles County,-1.18E+02,3.40E+01
Charles Drew Middle School,8511 Compton Avenue,Los Angeles,CA,90001,Los Angeles County,-1.18E+02,3.40E+01
Charles Drew Middle School,8511 Compton Avenue,Los Angeles,CA,90001,Los Angeles County,-1.18E+02,3.40E+01
Cornerstone Prep Charter School,7651 South Central Avenue,Los Angeles,CA,90001,Los Angeles County,-1.18E+02,3.40E+01
Compton Avenue Elementary School,1515 East 104th Street,Los Angeles,CA,90002,Los Angeles County,-1.18E+02,3.39E+01
Charles W. Barrett Elementary School,419 West 98th Street,Los Angeles,CA,90003,Los Angeles County,-1.18E+02,3.39E+01
Charles W. Barrett Elementary School,419 West 98th Street,Los Angeles,CA,90003,Los Angeles County,-1.18E+02,3.39E+01
Alexandria Avenue Elementary School,4211 Oakwood Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Cahuenga Elementary School,220 South Hobart Boulevard,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Camino Nuevo High Charter School,3500 West Temple Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Commonwealth Avenue Elementary School,215 South Commonwealth Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Central City Value School,221 North Westmoreland Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Charles H. Kim Elementary School,225 South Oxford Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Charles H. Kim Elementary School,225 South Oxford Avenue,Los Angeles,CA,90004,Los Angeles County,-1.18E+02,3.41E+01
Ambassador Of Global Education School,3201 West Eighth Street,Los Angeles,CA,90005,Los Angeles County,-1.18E+02,3.41E+01
Ambassador Of Global Leadership School,701 South Catalina Street,Los Angeles,CA,90005,Los Angeles County,-1.18E+02,3.41E+01
Camino Nuevo Charter Academy School,635 South Harvard Boulevard,Los Angeles,CA,90005,Los Angeles County,-1.18E+02,3.41E+01
Berendo Middle School,1157 South Berendo Street,Los Angeles,CA,90006,Los Angeles County,-1.18E+02,3.40E+01
Animo Jackie Robinson High School,3500 South Hill Street,Los Angeles,CA,90007,Los Angeles County,-1.18E+02,3.40E+01
Audubon Middle School,4120 11th Avenue,Los Angeles,CA,90008,Los Angeles County,-1.18E+02,3.40E+01
Accelerated Elementary Charter School,119 East 37th Street,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Animo Ralph Bunche High School,1655 East 27th Street,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Ascot Avenue Elementary School,1447 East 45th Street,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Aurora Elementary School,1050 East 52nd Place,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Celerity Dyad Charter School,4501 South Wadsworth,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Center For Advanced Learning School,4016 South Central Avenue,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
Central Region Elementary #16 School,120 East 57th Street,Los Angeles,CA,90011,Los Angeles County,-1.18E+02,3.40E+01
