Pending,New Subdivision,ML81546750,405 Carnivale Lane,1181636,41,2,3,2,0,2510,3.20E+03,Alameda,0,-1.18E+02,3.38E+01,"33.8440432, -117.8735256"
Active,New Subdivision,ML81546479,2746 Bette Street,1235539,59,4,4,3,1,2695,3.39E+03,Alameda,0,-1.22E+02,3.78E+01,"37.7885521, -122.2827962"
Pending,New Subdivision,ML81546754,420 Dewitt Lane,1350299,48,3,4,3,0,3264,3.02E+03,Alameda,0,-1.22E+02,3.78E+01,"37.7878863, -122.2820813"
Contingent,Not Applicable,ML81547313,965 Shorepoint Court,448888,43,2,2,2,0,995,1.01E+05,Alameda,45,-1.22E+02,3.78E+01,"37.762802, -122.268957"
Pending,Not Applicable,ML81550801,1234 Grand Boulevard,795000,9,3,4,3,0,2602,5.28E+03,Alviso,16,-1.22E+02,3.74E+01,"37.425907, -121.972301"
Active,,ML81561710,1287 Wabash Street,499000,13,2,3,1,1,991,6.00E+03,Alviso,67,-1.22E+02,3.74E+01,"37.427385, -121.972344"
Active,Not Applicable,ML81458850,333 Atherton Avenue,15800000,335,8,6,6,2,11230,1.09E+05,Atherton,23,-1.22E+02,3.74E+01,"37.438496, -122.216675"
Active,Not Applicable,ML81459558,151 Laurel Street,11388000,603,8,9,7,1,8380,8.06E+04,Atherton,130,-1.22E+02,3.75E+01,"37.4598103, -122.1824698"
Active,Not Applicable,ML81462831,55 Irving Avenue,3999000,313,2,3,2,0,1870,4.23E+04,Atherton,61,-1.22E+02,3.75E+01,"37.472624, -122.188667"
Active,Not Applicable,ML81465776,65 Selby Lane,11800000,295,11,7,8,3,12092,4.01E+04,Atherton,9,-1.22E+02,3.75E+01,"37.464207, -122.213622"
Active,Not Applicable,ML81468395,1 Faxon Road,20700000,280,7,5,5,2,14000,7.54E+04,Atherton,12,-1.22E+02,3.74E+01,"37.449577, -122.203883"
Active,Not Applicable,ML81472163,95 Atherton Avenue,15200000,257,8,5,6,2,9983,9.32E+04,Atherton,21,-1.22E+02,3.75E+01,"37.455977, -122.203683"
Active,Not Applicable,ML81485989,84 Selby Lane,9500000,232,4,5,3,1,6170,5.38E+04,Atherton,35,-1.22E+02,3.75E+01,"37.4631, -122.215489"
Active,Not Applicable,ML81500320,75 Reservoir Road,9950000,204,3,4,3,0,2740,1.42E+05,Atherton,68,-1.22E+02,3.74E+01,"37.429465, -122.22256"
Active,Not Applicable,ML81516493,1 Tallwood Ct.,15600000,162,8,5,5,3,11985,4.36E+04,Atherton,0,-1.22E+02,3.74E+01,"37.433781, -122.216476"
Active,Not Applicable,ML81520140,291 Atherton Avenue,14688000,208,6,5,5,1,9600,8.75E+04,Atherton,18,-1.22E+02,3.74E+01,"37.440453, -122.215892"
Active,Not Applicable,ML81520205,393 Atherton Avenue,9995000,134,9,5,8,1,7649,4.36E+04,Atherton,19,-1.22E+02,3.74E+01,"37.436695, -122.218744"
Active,Not Applicable,ML81520215,247 Atherton Avenue,11990000,57,9,6,7,2,8932,4.11E+04,Atherton,8,-1.22E+02,3.74E+01,"37.4450015, -122.2125276"
Active,Not Applicable,ML81521887,85 Greenoaks Drive,12950000,122,7,6,5,2,9894,3.95E+04,Atherton,0,-1.22E+02,3.75E+01,"37.472103, -122.177801"
Active,Not Applicable,ML81521924,180 Hawthorne Drive,5250000,121,3,4,3,0,2630,4.09E+04,Atherton,65,-1.22E+02,3.75E+01,"37.465819, -122.182922"
Active,Not Applicable,ML81533049,28 Selby Lane,6500000,110,2,2,1,1,1670,7.25E+04,Atherton,67,-1.22E+02,3.75E+01,"37.467115, -122.212915"
Active,Not Applicable,ML81547216,172 Stockbridge Avenue,6700000,53,6,5,5,1,4430,2.73E+04,Atherton,69,-1.22E+02,3.75E+01,"37.455509, -122.216376"
Active,Not Applicable,ML81548805,302 Stevick Drive,4750000,39,3,3,2,1,2342,4.36E+04,Atherton,61,-1.22E+02,3.74E+01,"37.441265, -122.220404"
Active,Not Applicable,ML81549406,5 Carolina Lane,17800000,33,9,7,7,2,12778,4.48E+04,Atherton,0,-1.22E+02,3.75E+01,"37.462984, -122.21226"
Active,Not Applicable,ML81549649,750 El Camino Real,2495000,20,3,4,2,1,2500,1.26E+04,Atherton,66,-1.22E+02,3.75E+01,"37.460171, -122.197142"
Pending,Not Applicable,ML81549669,188 Fair Oaks Lane,11200000,11,5,3,4,1,7517,1.02E+05,Atherton,111,-1.22E+02,3.75E+01,"37.468496, -122.194504"
Pending,Not Applicable,ML81549696,18 Isabella Avenue,4195000,4,4,4,3,1,3647,1.66E+04,Atherton,65,-1.22E+02,3.75E+01,"37.459477, -122.197273"
Active,Not Applicable,ML81549715,91 Selby Lane,14900000,148,12,8,9,3,12402,4.83E+04,Atherton,0,-1.22E+02,3.75E+01,"37.46225, -122.213981"
Active,Not Applicable,ML81550465,19 Almendral Avenue,3499000,25,5,4,4,1,3810,6.75E+03,Atherton,13,-1.22E+02,3.75E+01,"37.4631, -122.205362"
Active,Not Applicable,ML81551111,400 Selby Lane,8750000,20,6,3,5,1,3460,5.04E+04,Atherton,61,-1.22E+02,3.75E+01,"37.451078, -122.213185"
Contingent,Not Applicable,ML81551153,9 Park Drive,3998000,19,6,4,5,1,3696,9.59E+03,Atherton,1,-1.22E+02,3.75E+01,"37.463009, -122.204361"
Active,Not Applicable,ML81562488,120 Selby Lane,10495000,109,7,7,7,0,11000,8.71E+04,Atherton,101,-1.22E+02,3.75E+01,"37.46127, -122.217532"
Pending,Not Applicable,ML81562506,6 Camino Por Los Arboles,8450000,2,6,5,5,1,6070,3.18E+04,Atherton,16,-1.22E+02,3.74E+01,"37.44061, -122.205015"
Active,Not Applicable,ML81562741,372 El Camino Real,1955000,8,2,2,2,0,1330,8.50E+03,Atherton,94,-1.22E+02,3.75E+01,"37.463277, -122.203372"
Active,Not Applicable,ML81562752,97 Mount Vernon Lane,8750000,8,6,5,4,2,7939,4.84E+04,Atherton,13,-1.22E+02,3.75E+01,"37.468482, -122.197963"
Active,Not Applicable,ML81563152,236 Selby Lane,2650000,6,3,4,3,0,2600,1.00E+04,Atherton,53,-1.22E+02,3.75E+01,"37.455049, -122.219487"
Active,Not Applicable,ML81563204,88 Tuscaloosa Avenue,7995000,6,4,4,3,1,3770,5.81E+04,Atherton,57,-1.22E+02,3.75E+01,"37.458131, -122.20716"
Active,Not Applicable,ML81563570,44 Mccormick Lane,3295000,5,4,5,4,0,3940,4.36E+04,Atherton,57,-1.22E+02,3.75E+01,"37.4613272, -122.197743"
Active,Not Applicable,ML81563607,123 Austin Avenue,12950000,4,6,5,5,1,6243,4.36E+04,Atherton,3,-1.22E+02,3.75E+01,"37.4592839, -122.212025"
Active,Not Applicable,ML81563777,47 Camino Por Los Arboles,42800000,4,10,6,6,4,16468,6.32E+04,Atherton,0,-1.22E+02,3.74E+01,"37.441079, -122.204027"
Active,Not Applicable,ML81563851,246 Atherton Avenue,39800000,3,10,7,7,3,23013,1.10E+05,Atherton,1,-1.22E+02,3.74E+01,"37.445697, -122.213993"
Active,Not Applicable,ML81563901,49 Douglass Way,3195000,2,2,3,2,0,2030,2.76E+04,Atherton,64,-1.22E+02,3.75E+01,"37.454872, -122.188963"
Active,Not Applicable,ML81563949,47 Ralston Road,6295000,1,4,4,4,0,4500,4.00E+04,Atherton,70,-1.22E+02,3.75E+01,"37.457839, -122.212228"
Active,Not Applicable,ML81534855,1512 Notre Dame Avenue,1695888,88,3,3,2,1,2000,1.00E+04,Belmont,68,-1.22E+02,3.75E+01,"37.51908, -122.288583"
Pending,Not Applicable,ML81546310,3211 Longfellow Drive,1299000,12,4,3,3,1,2260,1.16E+04,Belmont,38,-1.22E+02,3.75E+01,"37.522546, -122.311343"
Contingent,Not Applicable,ML81547109,1539 Fifth Avenue,1398000,18,3,3,2,1,2020,5.30E+03,Belmont,67,-1.22E+02,3.75E+01,"37.515409, -122.270962"
Pending,Not Applicable,ML81547811,3220 Upper Lock Avenue,1498000,13,3,3,2,1,2740,6.25E+03,Belmont,36,-1.22E+02,3.75E+01,"37.513648, -122.313979"
Pending,Not Applicable,ML81548193,1261 Granada Street,999000,21,1,3,1,0,1100,5.24E+03,Belmont,69,-1.22E+02,3.75E+01,"37.521409, -122.270995"
Pending,Not Applicable,ML81549543,864 South Road,875000,12,2,2,2,0,1120,6.49E+03,Belmont,72,-1.22E+02,3.75E+01,"37.519704, -122.279462"
Pending,Not Applicable,ML81550516,2024 Notre Dame Avenue,1839000,4,2,3,2,0,3200,6.25E+03,Belmont,69,-1.22E+02,3.75E+01,"37.522282, -122.298897"
Pending,Not Applicable,ML81550614,2664 Belmont Canyon Road,1450000,12,3,3,2,1,2400,5.50E+03,Belmont,51,-1.22E+02,3.75E+01,"37.512779, -122.31485"
Contingent,Not Applicable,ML81561209,100 Live Oak Way,988000,11,3,2,2,1,1409,2.04E+05,Belmont,11,-1.22E+02,3.75E+01,"37.5084169, -122.3012577"
Active,Not Applicable,ML81561302,1000 Live Oak Way,1298000,8,3,3,2,1,2096,2.04E+05,Belmont,11,-1.22E+02,3.75E+01,"37.5087612, -122.3016155"
Pending,Not Applicable,ML81561364,2620 Lincoln Avenue,1200000,13,2,2,2,0,1492,6.27E+03,Belmont,77,-1.22E+02,3.75E+01,"37.5208579, -122.307421"
Active,Not Applicable,ML81562190,40 Meadow Park Circle,1399000,6,3,3,2,1,2120,2.03E+03,Belmont,44,-1.22E+02,3.75E+01,"37.506874, -122.320157"
Contingent,Not Applicable,ML81562293,2920 San Juan Boulevard,1488000,11,3,4,3,0,2520,7.75E+03,Belmont,82,-1.22E+02,3.75E+01,"37.515433, -122.311064"
Active,Not Applicable,ML81562354,3812 Naughton Avenue,1495000,11,3,3,3,0,1980,4.50E+03,Belmont,51,-1.22E+02,3.75E+01,"37.514514, -122.318549"
Active,Not Applicable,ML81562482,2115 Sharon Avenue,1598000,11,3,4,3,0,2295,6.52E+03,Belmont,69,-1.22E+02,3.75E+01,"37.5200917, -122.2983337"
